StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,gender_respondent,age,citizenship,race,race_5_TEXT,city_1,ideology,party,employment,education_alt,military,military_5_TEXT,military_family,bp1,bp2,bp3,bp4,bp5,bp6,bp7,cp1,cp2,cp3,cp4,cp5,cp6,cp7,ns1,ns2,ns3,ns4,pp_1,pp_2,pp_3,pp_4,pp_5,mc_general,mc_economy,mc_security,mc_culture,attention1,attentıon2,random_id,Random ID,threat_v,Q_DataPolicyViolations
2025-03-17 09:29:15,2025-03-17 09:29:15,Survey Test,,100,0,True,2025-03-17 09:29:15,R_0qWFz6ZvlSKDhLE,,,,,,,test,,Diğer/Cevap vermek istemiyorum,"Porta. Diam phasellus purus accumsan vestibulum laoreet. Gravida dignissim ultricies amet cursus, orci! Maecenas fusce.",Hayır,Boşnak,,İstanbul,Sağ,Muhalefet,İşsiz fakat iş aramayan,"Integer. At elit! Euismod est? Ut consectetuer? Dignissim, viverra faucibus ante magnis.",Yapma zorunluluğum yok,,Cevap vermek istemiyorum,4,4,4,5,1,1,4,1,3,2,5,1,2,1,3,5,4,2,4,1,1,1,2,,,,,Hayvan hakları,3,Ut potenti velit? Non. Sollicitudin eros euismod metus pharetra porttitor suspendisse malesuada rhoncus suspendisse ridiculus.,27863,placebo,
2025-03-17 09:29:15,2025-03-17 09:29:15,Survey Test,,100,0,True,2025-03-17 09:29:16,R_7WEjGU3HkrmCDr0,,,,,,,test,,Kadın,"Proin velit, dictumst id velit velit viverra! Metus! Ipsum integer.",Evet,Diğer (lütfen belirtiniz),Magnis at platea mauris sodales convallis fringilla praesent ipsum ultrices quis interdum vestibulum aenean placerat.,Çankırı,Sağ,Muhalefet,İşsiz fakat iş aramayan,"Ligula fringilla mi egestas? Arcu malesuada aliquet blandit, non ipsum.",Bedelli,,Cevap vermek istemiyorum,5,1,5,1,1,1,4,2,4,4,3,3,2,3,3,4,3,5,3,3,5,4,3,,,,Ekonomik,Tıp,2,"Nec, sollicitudin tincidunt! Ante felis suspendisse primis blandit blandit! Risus? Volutpat.",41260,culture,
2025-03-17 09:29:16,2025-03-17 09:29:16,Survey Test,,100,0,True,2025-03-17 09:29:16,R_03zfkjltbZ5lBeS,,,,,,,test,,Erkek,"Egestas! Ultrices dictumst. Donec! Eros wisi. Primis lacus, primis interdum.",Hayır,Arap,,Trabzon,Ne sağ ne sol,Hiçbirisi,Tam zamanlı çalışan/İşyeri sahibi,Lacus ligula urna aliquam. Mattis bibendum mauris tincidunt ridiculus? Orci urna magna.,Evet (uzun veya kısa dönem),,Evet,3,1,3,4,3,2,5,4,5,5,2,1,2,1,4,4,1,4,3,2,5,4,5,,,,Kültürel,Astronomi,4,Maecenas mauris vivamus proin bibendum facilisis? Montes sem donec morbi vitae quam odio pellentesque! Non.,62588,culture,
2025-03-17 09:29:16,2025-03-17 09:29:16,Survey Test,,100,0,True,2025-03-17 09:29:16,R_dbV7jmdHiSDBCm2,,,,,,,test,,Erkek,Tincidunt nulla suscipit vestibulum egestas pellentesque mauris egestas quam ullamcorper velit.,Evet,Bilmiyorum,,Kilis,Ne sağ ne sol,Muhalefet,Tam zamanlı çalışan/İşyeri sahibi,Faucibus placerat nibh dignissim placerat sodales rhoncus venenatis commodo proin.,Yapma zorunluluğum yok,,Evet,3,4,2,2,1,3,1,2,3,1,5,5,2,5,4,2,5,3,4,3,4,1,5,,,Ekonomik,,Tıp,4,Accusamus tincidunt egestas pretium vulputate temporibus fringilla accumsan accusamus metus enim sit. Facilisi.,29431,security,
2025-03-17 09:29:16,2025-03-17 09:29:16,Survey Test,,100,0,True,2025-03-17 09:29:17,R_3X9BW0OYitY3ram,,,,,,,test,,Diğer/Cevap vermek istemiyorum,Sodales pede nonummy velit felis fringilla nec sapien purus morbi.,Hayır,Arap,,Adana,Sağ,Hiçbirisi,Yarı zamanlı çalışan,Platea sit velit phasellus lorem dui vel pretium? Facilisi tempor turpis quis purus cursus neque.,Yapma zorunluluğum yok,,Evet,4,1,5,1,2,5,3,5,3,1,4,1,3,2,4,3,2,5,2,1,3,4,4,,,Ekonomik,,Tıp,2,Dignissim volutpat leo aliquam primis est ut. Bibendum platea neque est euismod purus ullamcorper non.,91904,security,
2025-03-17 09:29:17,2025-03-17 09:29:17,Survey Test,,100,0,True,2025-03-17 09:29:17,R_4PDJKgHL6d5vsSW,,,,,,,test,,Kadın,Natoque etiam curabitur risus potenti risus imperdiet proin bibendum vivamus duis sed. Interdum sollicitudin.,Evet,Cevap vermek istemiyorum,,Osmaniye,Sağ,Hiçbirisi,İşsiz ve iş arayan,"Accusamus. Etiam gravida luctus vulputate? Aliquet, tortor at etiam? Est maecenas non montes tempora. Ultricies.",Bedelli,,Hayır,2,5,3,1,3,5,3,3,2,3,1,3,3,5,1,2,4,3,5,3,5,2,2,,Güvenlik,,,Astronomi,2,Consequat etiam at aliquet interdum enim dictumst tortor mattis tempus.,27970,economy,
2025-03-17 09:29:17,2025-03-17 09:29:17,Survey Test,,100,0,True,2025-03-17 09:29:17,R_2hQnuM7A9ATO1MO,,,,,,,test,,Diğer/Cevap vermek istemiyorum,Euismod. Cras vestibulum quam imperdiet justo. Mi vitae porta? Risus.,Evet,Türk,,Elazığ,Sol,Hükûmet,İşsiz fakat iş aramayan,"Duis quis tincidunt, praesent leo cursus felis odio? Primis! Ullamcorper porta! Accumsan turpis montes.",Cevap vermek istemiyorum,,Hayır,2,5,4,3,4,5,5,3,4,3,2,3,4,4,5,1,5,5,2,2,5,3,5,,,,,Tıp,4,"Vehicula lacus duis a! Ultrices quam phasellus porta magna? Aliquam ante. Potenti, sollicitudin, magnis. Pretium.",35018,placebo,
2025-03-17 09:29:17,2025-03-17 09:29:18,Survey Test,,100,1,True,2025-03-17 09:29:18,R_djswweN9ube0zPg,,,,,,,test,,Diğer/Cevap vermek istemiyorum,Erat porta nullam commodo suscipit bibendum ridiculus blandit non in! Praesent fermentum. Mauris convallis pede.,Hayır,Gürcü,,Antalya,Sol,Muhalefet,Tam zamanlı çalışan/İşyeri sahibi,Augue tempus? Atque. Ipsum odio luctus neque fringilla tincidunt urna quis dapibus sit eros.,Yapma zorunluluğum yok,,Hayır,5,1,3,4,5,1,5,5,2,5,2,5,3,5,1,1,2,4,1,2,3,2,2,,Ekonomi,,,Astronomi,2,"Proin lacus donec integer. In donec, arcu dolorem potenti culpa est commodo! Phasellus.",77575,economy,
2025-03-17 09:29:18,2025-03-17 09:29:18,Survey Test,,100,0,True,2025-03-17 09:29:18,R_4ZuDStZXJ3p5OES,,,,,,,test,,Diğer/Cevap vermek istemiyorum,Cras duis aliquet mi odio elit imperdiet ultrices iaculis blandit! Per elit quis.,Evet,Kürt,,Hakkâri,Sol,Hiçbirisi,İşsiz fakat iş aramayan,"Gravida temporibus dolor luctus ligula ullamcorper ultricies lorem! Potenti, scelerisque! Faucibus.",Bedelli,,Hayır,3,1,1,3,4,1,4,2,4,3,4,5,1,3,4,2,1,4,2,1,2,2,5,,Ekonomi,,,Tıp,3,Arcu. Luctus culpa nulla metus donec. Iaculis pharetra dictumst. Dui.,10739,economy,
2025-03-17 09:29:18,2025-03-17 09:29:18,Survey Test,,100,0,True,2025-03-17 09:29:19,R_51NUtXpXSwYGU4K,,,,,,,test,,Kadın,Et porta wisi tempus augue bibendum eget integer accumsan posuere wisi aliquam pede.,Evet,Arap,,Edirne,Ne sağ ne sol,Hükûmet,Tam zamanlı çalışan/İşyeri sahibi,"Ridiculus elit venenatis, integer at dui id eleifend vivamus! Natoque.",Bedelli,,Hayır,1,4,4,1,2,5,3,3,4,5,4,4,3,2,2,5,3,3,2,3,5,2,4,,,Ekonomik,,Astronomi,1,"Aenean! Luctus pellentesque. Convallis in, accumsan iaculis. Morbi? Tortor diam? Per metus.",56157,security,
2025-03-17 09:29:19,2025-03-17 09:29:19,Survey Test,,100,0,True,2025-03-17 09:29:19,R_3rbUJLoUH6NGpGC,,,,,,,test,,Diğer/Cevap vermek istemiyorum,Viverra egestas faucibus pellentesque orci sem? Elementum integer scelerisque? Ab per? Metus. Potenti justo.,Evet,Laz,,Kilis,Sağ,Hiçbirisi,Tam zamanlı çalışan/İşyeri sahibi,"Dui dignissim malesuada consectetuer purus iaculis! Vestibulum viverra suspendisse vitae dapibus, non sollicitudin at pretium.",Bedelli,,Evet,1,2,5,5,2,5,5,4,3,5,2,3,2,3,2,1,3,1,2,4,5,4,3,,,,,Tıp,2,Cursus auctor. Posuere vel scelerisque felis tellus eros vivamus eleifend aliquam.,57106,placebo,
2025-03-17 09:29:19,2025-03-17 09:29:19,Survey Test,,100,0,True,2025-03-17 09:29:19,R_3DlJD8mgL4DnJUW,,,,,,,test,,Diğer/Cevap vermek istemiyorum,Et. Curabitur. Cras primis atque felis quis! Wisi tempor diam! Erat sed pellentesque elit.,Hayır,Laz,,Hatay,Sağ,Muhalefet,Emekli,"Ligula potenti praesent arcu, ut fermentum praesent amet? Morbi ut? Placerat sit.",Diğer,Massa pretium posuere per suspendisse morbi suscipit integer tincidunt. Posuere. Et tortor sed.,Cevap vermek istemiyorum,2,3,1,4,4,4,3,4,2,1,5,4,3,1,2,2,5,5,5,2,2,3,1,Ukrayna,,,,Göç,1,"Egestas praesent nullam consequat tincidunt luctus luctus velit, amet pede malesuada, eleifend.",94865,general,
2025-03-17 09:29:19,2025-03-17 09:29:19,Survey Test,,100,0,True,2025-03-17 09:29:20,R_5oMaltoGTK5Rpe6,,,,,,,test,,Erkek,"Eros mattis eros commodo, temporibus per rhoncus? Wisi a lorem. Urna sit.",Evet,Arap,,Tunceli,Sağ,Muhalefet,Tam zamanlı çalışan/İşyeri sahibi,"Fringilla non, ultrices elementum. Maecenas velit praesent etiam atque et, commodo? Volutpat.",Diğer,"Facilisi volutpat pretium pharetra velit leo elementum, dolorem magna. Sem volutpat leo erat. Pretium.",Evet,2,2,2,2,3,3,4,1,2,4,5,1,1,2,4,2,1,4,5,4,2,4,2,,Ekonomi,,,Astronomi,4,Fringilla risus non laoreet tempora molestie gravida eros convallis venenatis magnis turpis eleifend lacus.,18696,economy,
2025-03-17 09:29:20,2025-03-17 09:29:20,Survey Test,,100,0,True,2025-03-17 09:29:20,R_4ONdQXlfQdSOOx0,,,,,,,test,,Kadın,Leo magna. Ligula convallis blandit odio leo? Viverra augue nec. Sem luctus justo sit aliquam.,Evet,Diğer (lütfen belirtiniz),Consequat molestie nunc et erat atque. Neque. Laoreet platea? Augue aenean natoque sodales pellentesque felis.,Adıyaman,Sağ,Hükûmet,Emekli,Tempora? Porttitor magna praesent. Luctus massa? Nulla! Nunc? Morbi elit ridiculus.,Evet (uzun veya kısa dönem),,Evet,5,5,2,2,5,3,3,3,2,4,2,4,3,2,4,4,1,2,1,5,4,4,4,Suriye,,,,Tıp,3,Accusamus diam vel nonummy euismod nibh accumsan. Risus est est gravida placerat rhoncus.,74180,general,
2025-03-17 09:29:20,2025-03-17 09:29:20,Survey Test,,100,0,True,2025-03-17 09:29:20,R_a5D6WG1IL3adKSi,,,,,,,test,,Erkek,Erat urna per euismod felis gravida. Auctor placerat tellus cursus enim venenatis.,Hayır,Arap,,Kayseri,Sol,Muhalefet,Emekli,"Suspendisse imperdiet a, mattis. Ullamcorper. Tortor integer felis luctus maecenas.",Bedelli,,Evet,3,1,1,1,2,3,1,1,5,2,2,2,3,4,1,2,5,1,3,3,1,1,3,Afganistan,,,,Tıp,4,Lectus. Curabitur imperdiet proin urna porta viverra convallis suspendisse tempora maecenas. Lorem vel. Platea. Temporibus.,15611,general,
2025-03-17 09:29:20,2025-03-17 09:29:21,Survey Test,,100,1,True,2025-03-17 09:29:21,R_0Gtx11rwl3SWALk,,,,,,,test,,Erkek,Luctus rutrum. Suspendisse suscipit nulla tempus sodales curabitur montes suspendisse justo laoreet? A.,Hayır,Gürcü,,Şırnak,Sağ,Muhalefet,Tam zamanlı çalışan/İşyeri sahibi,"Eget mi rutrum, laoreet vitae vehicula per eget. A natoque non.",Evet (uzun veya kısa dönem),,Evet,3,1,2,5,1,3,3,1,1,3,5,5,1,4,1,4,1,2,2,4,5,2,4,,,Kültürel,,Göç,1,Pede integer laoreet dapibus posuere? Nulla quam nunc iaculis id imperdiet per nunc.,15420,security,
2025-03-17 09:29:21,2025-03-17 09:29:21,Survey Test,,100,0,True,2025-03-17 09:29:21,R_dgQQSaU4lFaYUfk,,,,,,,test,,Diğer/Cevap vermek istemiyorum,Tortor elementum metus sapien. Vivamus praesent etiam primis per justo tempora gravida.,Evet,Gürcü,,Kayseri,Sol,Hükûmet,İşsiz ve iş arayan,Nec vestibulum convallis tellus quis convallis sapien eleifend! Morbi. Sodales aenean nullam venenatis imperdiet commodo.,Diğer,"Fringilla fringilla primis pellentesque tempor, facilisi luctus sed nonummy placerat! Aliquet ac platea sed. Vestibulum.",Hayır,2,4,2,2,5,4,5,3,1,1,5,3,2,3,1,4,3,5,4,2,4,2,2,Suriye,,,,Göç,2,"Etiam erat duis. Lacus leo. Purus nec aenean proin sollicitudin amet, massa.",36036,general,
2025-03-17 09:29:21,2025-03-17 09:29:21,Survey Test,,100,0,True,2025-03-17 09:29:21,R_d6vLKXvYGlkWBU2,,,,,,,test,,Diğer/Cevap vermek istemiyorum,Augue. Nulla non porta accumsan aliquam odio pede? Et! Ut viverra. Neque non.,Evet,Türk,,Antalya,Sağ,Hükûmet,Yarı zamanlı çalışan,Neque facilisis felis integer wisi. Ultricies. Tempus pharetra massa. Non accumsan. Platea.,Bedelli,,Cevap vermek istemiyorum,3,2,4,3,4,2,3,3,2,2,5,1,5,1,5,5,3,2,1,4,1,1,5,,,,Güvenlik,Hayvan hakları,4,Platea diam diam elementum at placerat? Wisi vivamus arcu imperdiet.,75228,culture,
2025-03-17 09:29:22,2025-03-17 09:29:22,Survey Test,,100,0,True,2025-03-17 09:29:22,R_cSI1Ihw4xfnkVGS,,,,,,,test,,Diğer/Cevap vermek istemiyorum,"Etiam lorem blandit. A natoque maecenas, vivamus tempora amet ab sollicitudin vehicula erat.",Evet,Çerkez,,Sinop,Sol,Muhalefet,İşsiz fakat iş aramayan,Sit tincidunt? Sagittis curabitur enim vel porta. Sollicitudin fringilla? Morbi venenatis.,Evet (uzun veya kısa dönem),,Hayır,2,1,3,5,4,1,1,3,1,2,4,3,2,5,1,3,1,2,2,2,4,4,1,,,,,Hayvan hakları,3,Egestas blandit? At in posuere? Fusce rutrum blandit fusce luctus turpis. Dignissim morbi.,47623,placebo,
2025-03-17 09:29:22,2025-03-17 09:29:22,Survey Test,,100,0,True,2025-03-17 09:29:22,R_3KqzSONg2YpoZIa,,,,,,,test,,Erkek,Ac commodo vivamus vivamus fermentum cursus at vestibulum dignissim leo augue lectus. Fusce atque.,Evet,Boşnak,,Edirne,Sol,Hiçbirisi,Emekli,Volutpat. Tellus rhoncus eleifend mi. Tellus velit eget interdum. Ridiculus. Erat.,Evet (uzun veya kısa dönem),,Evet,1,2,5,4,1,4,1,1,5,5,5,2,4,3,2,1,3,1,1,2,2,1,5,,Ekonomi,,,Göç,2,Elit posuere imperdiet scelerisque praesent placerat placerat et. Velit id mattis nonummy etiam! Iaculis platea.,20277,economy,
