StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,prolificID,race,race_5_TEXT,age,citizenship,gender_respondent,ideology,party,employment,"education_alt ",military,military_family,bp1,bp2,bp3,bp4,bp5,bp6,bp7,cp1,cp2,cp3,cp4,cp5,cp6,cp7,ns1,ns2,ns3,ns4,pp_1,pp_2,pp_3,pp_4,pp_5,mc_general,mc_economy,mc_security,mc_culture,attention1,attention2,Random ID,threat_v,Q_DataPolicyViolations
2025-03-17 09:29:26,2025-03-17 09:29:26,Survey Test,,100,0,True,2025-03-17 09:29:26,R_dpa6gcuNDZDnxLU,,,,,,,test,,"Ultricies accumsan dignissim! Temporibus, felis metus sodales, sit odio ullamcorper magnis.",Native Hawaiian or Pacific Islander,,"Sollicitudin primis posuere id maecenas non! Et amet. Faucibus, ut ipsum magna.",Yes,Male,Conservative,Democrat Party,Employed part-time,Ligula montes! Cras amet iaculis urna curabitur. Aenean tempus non? Posuere augue? Massa aenean magna.,Yes,No,5,5,2,5,5,5,4,1,5,1,4,2,2,2,2,3,4,4,2,5,1,4,2,,,,,Animal rights,4,40114,placebo,
2025-03-17 09:29:26,2025-03-17 09:29:26,Survey Test,,100,0,True,2025-03-17 09:29:26,R_9nyiPrtU8dirZR4,,,,,,,test,,"Mi! Vel? Tempus, iaculis curabitur placerat! Placerat? Cras eleifend, facilisis nibh.",Native American,,Integer erat porta sagittis elit pharetra phasellus fusce eu consequat massa facilisis. Mattis commodo non.,Yes,Female,Neither Conservative nor Liberal,Democrat Party,Currently unemployed and seeking opportunities,"Consectetuer? Et elit. Montes enim sapien proin. Eros id platea dolorem, accumsan nibh potenti.",No,Yes,4,1,4,2,2,4,4,4,1,4,3,3,2,5,2,3,4,1,5,5,4,1,4,,,,Economy,Animal rights,4,82551,culture,
2025-03-17 09:29:26,2025-03-17 09:29:27,Survey Test,,100,1,True,2025-03-17 09:29:27,R_40e9NYOVgMwhzgi,,,,,,,test,,Dolorem? Nonummy rutrum wisi aenean sodales nec? Quis. Potenti nullam vehicula nonummy.,Asian,,A pede? Est posuere sodales egestas cras ullamcorper suscipit dignissim montes consectetuer donec.,Yes,Neither/Prefer not to say,Liberal,Democrat Party,Employed full-time/Self-employed,Ante porta laoreet dictumst diam quis sodales blandit iaculis turpis nunc accusamus porttitor.,Yes,Yes,5,1,3,3,2,3,4,4,3,2,3,1,4,5,2,5,4,1,4,4,5,2,3,,,,Culture,Animal rights,1,25800,culture,
2025-03-17 09:29:27,2025-03-17 09:29:27,Survey Test,,100,0,True,2025-03-17 09:29:27,R_9ER7Vfbxus7Eg6i,,,,,,,test,,At. Dapibus id non. Pretium. Sed. Pellentesque wisi? Dolorem egestas aliquet consectetuer.,Asian,,Aliquam ipsum. Diam nonummy scelerisque gravida diam? At cursus morbi enim suscipit? Iaculis.,Yes,Male,Neither Conservative nor Liberal,Republican Party,Currently unemployed and not seeking opportunities,Culpa magna dignissim! Potenti mauris! Duis proin consequat? Et maecenas lacus.,Yes,No,3,2,5,2,2,3,3,2,5,2,3,1,5,3,4,5,2,4,1,5,2,5,3,Central America,,,,Migration,4,75680,general,
2025-03-17 09:29:27,2025-03-17 09:29:27,Survey Test,,100,0,True,2025-03-17 09:29:27,R_4TluBegIGWnJKXI,,,,,,,test,,"Ac vel. Metus accusamus a vestibulum. Tempus morbi sed morbi! Cursus praesent, eleifend eros. Cursus.",Native Hawaiian or Pacific Islander,,Justo nec ab dui rutrum donec consectetuer sagittis? Tempora potenti.,Yes,Neither/Prefer not to say,Neither Conservative nor Liberal,Democrat Party,Employed part-time,Vivamus fermentum faucibus quis viverra. Ante blandit sollicitudin fringilla donec volutpat erat vivamus.,Yes,Yes,5,3,5,5,4,2,3,2,3,3,3,2,4,4,4,2,5,1,4,1,2,1,1,,,,Security,Astronomy,4,96648,culture,
2025-03-17 09:29:27,2025-03-17 09:29:28,Survey Test,,100,1,True,2025-03-17 09:29:28,R_b3AHshJ0OtG77RY,,,,,,,test,,Pellentesque pharetra magnis? Montes faucibus. Platea! At nibh? Pharetra neque.,Hispanic/Latino,,Tempor a amet odio purus gravida? Et? Facilisis scelerisque dolorem. Porttitor arcu eu iaculis dapibus.,Yes,Female,Liberal,Democrat Party,Currently unemployed and seeking opportunities,Odio magna est scelerisque faucibus lorem sed! Curabitur elementum etiam id? Consectetuer diam.,Yes,No,4,2,3,1,1,1,3,1,5,5,2,4,2,3,3,4,3,1,5,1,1,4,4,,,Economy,,Migration,3,60678,security,
2025-03-17 09:29:28,2025-03-17 09:29:28,Survey Test,,100,0,True,2025-03-17 09:29:28,R_1GNuwIyZgB1Y0ia,,,,,,,test,,"Ultrices nunc elementum donec consectetuer ultrices. Euismod platea felis rhoncus, vitae per accusamus blandit vivamus.",African-American/Black,,Dolor commodo arcu dignissim pede laoreet metus rhoncus etiam sapien scelerisque et integer dui platea.,No,Male,Neither Conservative nor Liberal,Independent,Employed full-time/Self-employed,Ullamcorper primis erat blandit iaculis non faucibus. Pharetra euismod porttitor.,Prefer not to answer,Prefer not to answer,5,2,2,3,5,1,2,5,4,5,2,3,1,2,3,2,1,4,1,1,2,1,3,,,,Security,Migration,3,72580,culture,
2025-03-17 09:29:28,2025-03-17 09:29:28,Survey Test,,100,0,True,2025-03-17 09:29:28,R_86w1vGdI4xFAXGe,,,,,,,test,,Porta! Sem leo eleifend nibh natoque? Eros nunc purus. Euismod vulputate gravida nec.,Hispanic/Latino,,"Donec curabitur odio odio faucibus aliquet, proin nullam ullamcorper! Massa. Sollicitudin tincidunt dignissim ante.",No,Male,Liberal,Democrat Party,Employed part-time,Sit diam laoreet vel convallis. Platea eget. Dolorem blandit blandit iaculis magnis dictumst.,Yes,No,4,1,4,4,5,3,4,2,5,4,3,2,2,5,1,3,5,1,1,5,3,1,4,,Economy,,,Astronomy,2,31910,economy,
2025-03-17 09:29:28,2025-03-17 09:29:29,Survey Test,,100,1,True,2025-03-17 09:29:29,R_bmzI1tZjfSt1Hz8,,,,,,,test,,"Platea culpa diam ultrices rutrum tellus cursus, curabitur in. Porta facilisis proin! Eleifend urna.",White/Caucausian,,Eu sagittis rhoncus. Tempor tempora duis eros amet. Magnis vehicula. Sapien potenti.,No,Neither/Prefer not to say,Liberal,Democrat Party,Currently unemployed and not seeking opportunities,"Integer imperdiet. Ut? Tempus euismod ultricies mauris auctor! Maecenas, sed placerat at urna pharetra.",Yes,No,4,3,1,5,1,3,1,5,3,4,4,4,5,4,4,4,2,2,1,5,2,3,5,,,,Security,Animal rights,2,64085,culture,
2025-03-17 09:29:29,2025-03-17 09:29:29,Survey Test,,100,0,True,2025-03-17 09:29:29,R_eEXnoVQNr1S9CzI,,,,,,,test,,"Nullam, sed ab nec ultrices. Vestibulum? Molestie, dignissim tempora mauris quis leo.",African-American/Black,,Iaculis? Tincidunt laoreet natoque suspendisse proin urna sem vivamus id pellentesque dui magnis sed facilisis.,Yes,Male,Liberal,Democrat Party,Employed part-time,Tempor facilisis porttitor justo ipsum! Fringilla fringilla maecenas molestie tempus vulputate posuere.,Prefer not to answer,No,2,3,4,3,5,3,3,2,5,4,4,1,1,4,2,3,3,3,5,2,5,2,3,,,,Culture,Medicine,4,45186,culture,
2025-03-17 09:29:29,2025-03-17 09:29:29,Survey Test,,100,0,True,2025-03-17 09:29:29,R_cUAQcuQW62sGiPA,,,,,,,test,,Pede tortor convallis proin fermentum sollicitudin aliquet purus nibh facilisis laoreet eleifend iaculis dignissim! Fringilla.,Two or more,,"Euismod accusamus temporibus sit mi turpis. Iaculis dapibus etiam, wisi fusce ultrices, et. Vehicula.",Yes,Female,Neither Conservative nor Liberal,Independent,Currently unemployed and not seeking opportunities,Proin rhoncus potenti morbi facilisis primis aliquet magnis! Porttitor vestibulum.,No,Yes,5,4,5,3,4,3,4,4,1,4,5,3,3,3,5,4,3,4,1,5,3,5,1,,,,Culture,Migration,3,49547,culture,
2025-03-17 09:29:29,2025-03-17 09:29:30,Survey Test,,100,1,True,2025-03-17 09:29:30,R_2lu2aVOyGqUEgQu,,,,,,,test,,"Id eget, nunc vulputate ridiculus non vehicula elit orci venenatis sed. Ipsum nonummy.",White/Caucausian,,Ligula dui bibendum. Ligula tempora cursus orci mauris id luctus a euismod iaculis.,Yes,Neither/Prefer not to say,Conservative,Republican Party,Employed part-time,Bibendum porta neque fringilla ullamcorper vivamus malesuada lacus aliquet commodo fringilla? Pretium praesent.,Yes,Yes,1,5,5,3,4,5,4,4,1,1,4,5,4,5,5,4,2,5,5,5,1,2,3,,Security,,,Migration,2,52308,economy,
2025-03-17 09:29:30,2025-03-17 09:29:30,Survey Test,,100,0,True,2025-03-17 09:29:30,R_6x9xDi8PMf9HINg,,,,,,,test,,Tempor ac gravida per praesent. Lorem mi suscipit! Natoque quis accumsan amet lectus.,Hispanic/Latino,,Lacus? Praesent consectetuer! Tempora magnis neque. Lectus sollicitudin! Ipsum sit.,No,Female,Conservative,Democrat Party,Employed full-time/Self-employed,Turpis sollicitudin facilisis egestas massa accusamus accumsan risus arcu nullam per primis gravida sagittis etiam.,Yes,Yes,1,1,4,5,3,4,3,1,4,2,1,1,1,3,2,1,4,2,3,1,4,4,3,,,,Security,Astronomy,1,43501,culture,
2025-03-17 09:29:30,2025-03-17 09:29:30,Survey Test,,100,0,True,2025-03-17 09:29:30,R_6yyR4o5w9rdT85E,,,,,,,test,,"Quis risus elementum arcu integer nonummy. Amet dapibus accusamus vivamus, donec eu magnis et praesent.",Two or more,,Quis quis placerat ab! Non nullam orci eget. Scelerisque tempus vivamus ante integer! Nec.,No,Male,Neither Conservative nor Liberal,Democrat Party,Employed full-time/Self-employed,Dolorem donec nullam est phasellus id cras? Eleifend etiam dolor metus.,Prefer not to answer,Yes,4,5,3,4,5,1,3,5,3,5,3,2,4,5,4,2,5,3,1,5,5,2,1,Middle East,,,,Migration,2,34450,general,
2025-03-17 09:29:30,2025-03-17 09:29:31,Survey Test,,100,1,True,2025-03-17 09:29:31,R_9u9XRmuGcFvh7RY,,,,,,,test,,Ullamcorper duis praesent praesent amet per rutrum! Tortor sit consectetuer? Per nec ridiculus? Convallis.,Native Hawaiian or Pacific Islander,,Primis! Platea ligula fermentum potenti! Ac vulputate per mauris lacus.,Yes,Male,Conservative,Democrat Party,Employed full-time/Self-employed,At mattis luctus pretium! Suscipit quis fusce per commodo! Vestibulum.,Prefer not to answer,No,3,5,2,1,3,3,3,1,2,1,1,2,2,4,2,1,2,1,5,5,4,4,1,,,Security,,Animal rights,4,40773,security,
2025-03-17 09:29:31,2025-03-17 09:29:31,Survey Test,,100,0,True,2025-03-17 09:29:31,R_0NBRD42vZ4PbQvc,,,,,,,test,,Cras sodales? Pharetra convallis mi aliquet consectetuer porttitor consectetuer fringilla rhoncus integer? Platea.,Prefer not to say,,"Dolorem ullamcorper convallis. Vestibulum non atque vestibulum a. Est iaculis platea sit quis, phasellus justo.",Yes,Female,Conservative,Independent,Currently unemployed and not seeking opportunities,"Venenatis culpa cursus porttitor accusamus sapien convallis elementum, dolor morbi tempor molestie tempora? Odio.",Yes,No,1,2,1,4,3,5,2,4,5,4,1,4,1,2,4,2,5,5,3,2,4,2,3,,,,,Astronomy,4,71079,placebo,
2025-03-17 09:29:31,2025-03-17 09:29:31,Survey Test,,100,0,True,2025-03-17 09:29:31,R_8qzDNpOCjt0j7V4,,,,,,,test,,"Arcu phasellus massa, aliquet proin integer. Consequat dignissim fusce placerat.",Native Hawaiian or Pacific Islander,,"Leo ullamcorper eu wisi mattis gravida. Facilisi. Aliquam amet, molestie rhoncus dignissim! Rhoncus.",Yes,Male,Liberal,Republican Party,Currently unemployed and not seeking opportunities,Fringilla auctor ridiculus pede ligula fermentum placerat pellentesque at ipsum consequat fermentum potenti.,Prefer not to answer,Yes,5,4,5,1,4,4,4,2,2,3,4,1,1,1,3,3,1,2,1,4,5,3,1,Central America,,,,Medicine,2,79415,general,
2025-03-17 09:29:31,2025-03-17 09:29:32,Survey Test,,100,1,True,2025-03-17 09:29:32,R_cNoItVdyr6D5Ydo,,,,,,,test,,"Dictumst! Eleifend diam sollicitudin ridiculus? Nec platea sit magna magnis, euismod nibh dictumst vitae purus.",Unknown,,Lacus ac aliquet mattis molestie sollicitudin pretium suspendisse curabitur sapien dapibus duis montes viverra.,No,Neither/Prefer not to say,Conservative,Republican Party,Employed full-time/Self-employed,Id cras suspendisse elit eros tellus laoreet. Porta! Et non eros pede.,Yes,Prefer not to answer,2,2,2,1,3,4,4,3,2,5,3,3,3,5,1,5,2,1,3,4,4,5,5,,,Security,,Medicine,4,52570,security,
2025-03-17 09:29:32,2025-03-17 09:29:32,Survey Test,,100,0,True,2025-03-17 09:29:32,R_3waLXobADCamdX8,,,,,,,test,,"Aenean? Eleifend, non eu nibh pharetra primis, dui consequat. Etiam.",Unknown,,Platea scelerisque mauris gravida pharetra nullam nunc faucibus mattis tincidunt lectus! Ultrices.,No,Neither/Prefer not to say,Neither Conservative nor Liberal,Independent,Retired,Euismod dui! Dolor platea et dignissim. Auctor felis diam maecenas magna.,No,Yes,4,5,2,3,1,2,1,1,5,4,5,5,1,5,2,1,5,5,4,1,5,4,4,Africa,,,,Astronomy,1,98674,general,
2025-03-17 09:29:32,2025-03-17 09:29:32,Survey Test,,100,0,True,2025-03-17 09:29:32,R_5pBerlQsCWkRiXc,,,,,,,test,,Culpa dui duis tempor? Turpis duis pellentesque pellentesque sem. Ab.,Other (please specify),"Consectetuer tempus. Facilisis aliquet consequat, cursus vulputate sollicitudin neque ultricies metus.",Nullam suspendisse leo non dapibus per duis mauris sodales magna mi atque.,Yes,Male,Liberal,Independent,Retired,Ab elementum! Egestas cursus et a metus enim! Non elit sollicitudin convallis lorem.,Yes,No,2,5,2,2,2,4,3,2,2,4,5,4,4,2,4,1,4,1,1,4,5,1,4,,,,,Medicine,1,29590,placebo,
2025-03-17 09:29:32,2025-03-17 09:29:32,Survey Test,,100,0,True,2025-03-17 09:29:33,R_5aNMKdJZ6sfk9v0,,,,,,,test,,Turpis ante arcu facilisis nonummy sed bibendum malesuada tincidunt elementum! Eros sapien volutpat.,White/Caucausian,,Montes consequat turpis vel! Eget platea donec est tempus blandit.,Yes,Neither/Prefer not to say,Conservative,Republican Party,Currently unemployed and not seeking opportunities,Vivamus euismod magna. In cras. Consectetuer curabitur eget! Viverra quam viverra.,Yes,No,2,2,4,5,2,5,5,1,1,2,5,1,3,5,3,1,4,5,3,3,2,1,4,,,,Culture,Migration,1,70167,culture,
2025-03-17 09:29:33,2025-03-17 09:29:33,Survey Test,,100,0,True,2025-03-17 09:29:33,R_512Lnpkq1nD7rqC,,,,,,,test,,Tempor dignissim. Dictumst gravida consectetuer accumsan primis pede. Justo facilisi.,Other (please specify),Sem? Id atque nibh tortor vestibulum tincidunt maecenas tellus tincidunt. Fusce rutrum.,Mi ac posuere. Pharetra malesuada sollicitudin auctor ac amet velit proin convallis.,No,Male,Liberal,Republican Party,Currently unemployed and seeking opportunities,Tellus fusce duis. Interdum. Arcu non nullam? Temporibus fermentum mauris. Wisi purus.,No,Prefer not to answer,4,4,4,3,5,4,2,1,5,3,5,4,4,3,5,3,2,3,2,1,5,3,2,,,,Security,Medicine,3,91036,culture,
2025-03-17 09:29:33,2025-03-17 09:29:33,Survey Test,,100,0,True,2025-03-17 09:29:33,R_789j1s22bDmVHX8,,,,,,,test,,"Ut eu! Natoque justo, volutpat temporibus. Blandit sodales suscipit auctor, vulputate vulputate! Pellentesque.",African-American/Black,,Phasellus ligula odio ultricies nunc tempus curabitur! Lectus morbi luctus nunc convallis lacus sem fermentum.,Yes,Female,Neither Conservative nor Liberal,Republican Party,Currently unemployed and seeking opportunities,"Potenti. Porttitor eget eu lorem, cras orci platea! Gravida. Laoreet? Vestibulum auctor pede eros! Ipsum.",No,No,5,4,5,1,3,5,5,2,5,3,5,4,3,5,5,5,2,1,3,3,4,1,5,,,Economy,,Migration,3,98802,security,
2025-03-17 09:29:33,2025-03-17 09:29:33,Survey Test,,100,0,True,2025-03-17 09:29:34,R_6YerBpTFDCCDXwy,,,,,,,test,,Odio odio sodales fringilla temporibus massa! Iaculis. Quis turpis nonummy tortor duis ac.,Hispanic/Latino,,"Ultrices. Cursus aliquet curabitur, felis vestibulum ullamcorper magna tempora leo commodo natoque vivamus.",Yes,Neither/Prefer not to say,Neither Conservative nor Liberal,Republican Party,Employed full-time/Self-employed,Magna neque sagittis. Est laoreet. Nec accusamus pharetra integer quam.,Prefer not to answer,Prefer not to answer,4,1,3,5,3,3,2,3,4,1,3,4,2,3,3,5,3,2,5,1,4,4,1,,,Economy,,Animal rights,4,90916,security,
2025-03-17 09:29:34,2025-03-17 09:29:34,Survey Test,,100,0,True,2025-03-17 09:29:34,R_5d2BycZYwLQ5wnI,,,,,,,test,,Nec neque enim convallis ipsum imperdiet wisi curabitur vulputate sagittis? Tempora primis porta.,Hispanic/Latino,,Massa auctor culpa nonummy. Augue! Convallis montes commodo. Ultricies neque.,Yes,Neither/Prefer not to say,Neither Conservative nor Liberal,Independent,Currently unemployed and seeking opportunities,Sapien laoreet dapibus? Dapibus vulputate? Dictumst tortor enim luctus? Est quis tempus ultrices.,Yes,Yes,5,4,1,3,2,2,4,5,1,4,3,2,4,3,2,5,4,5,3,1,4,5,3,,,,Culture,Astronomy,2,22268,culture,
